Tejido,Replica,Especie,Trat,PESO ,As,Ca,Cu,Fe,K,Mg,Mn,P,Pb,Zn,Biomasa
Aereo,2,V. farnesiana,C,<0.02,0.39,12900,5.9,180,15200,980,28.4,1380,0.53,11.6,5.66
Aereo,10,V. farnesiana,C,<0.02,0.3,7000,6.24,173,17200,1190,43.1,1340,0.72,10.5,4.23
Aereo,11,V. farnesiana,C,<0.02,0.23,9200,5.23,172,15700,1900,39.6,1880,0.41,12.2,4.55
Radical,2,V. farnesiana,C,<0.02,11.2,31100,154,8630,11600,5070,184,3290,13.7,71.5,3.56
Radical,10,V. farnesiana,C,<0.02,12.3,26400,175.5,8150,16300,4670,157,3120,14.4,64.4,2.74
Radical,11,V. farnesiana,C,<0.02,13.45,20500,186,10700,11100,4030,109.5,2250,13.5,46.2,3.77
Aereo,5,R. communis,C,<0.02,1.29,14200,18.55,1210,22700,2060,47.7,2640,2.05,23.9,5.9
Radical,5,R. communis,C,<0.02,8.72,21300,153.5,9650,28000,8100,77,3160,9.8,30.3,4.4
Aereo,14,R. communis,C,<0.02,1.6,14300,20,1970,17900,2610,69.2,2540,3.83,32.8,4.54
Radical,14,R. communis,C,<0.02,7.67,18400,116,7410,33300,8160,77.9,3340,8.57,28.4,3.69
Aereo,17,R. communis,C,<0.02,0.94,11300,12.15,670,20900,1880,38.8,2590,1.33,22.6,7.69
Radical,17,R. communis,C,<0.02,12.4,18600,184,12600,30900,8450,83.7,3480,13.3,34.2,6.69
Aereo,61,V. farnesiana,CI,<0.02,0.51,8800,11.45,730,14600,1420,39.2,1640,1.35,13.9,5.69
Aereo,74,V. farnesiana,CI,<0.02,0.24,11000,5.83,102,14500,1410,71.4,1520,0.18,13,6.19
Aereo,62,V. farnesiana,CI,<0.02,0.27,12600,6.81,219,13400,1310,54.1,1470,0.35,11.2,9.01
Aereo,73,V. farnesiana,CI,<0.02,0.17,10400,4.55,99,17400,1150,36.8,1630,0.2,13.8,10.72
Aereo,68,R. communis,CI,<0.02,2.22,14800,34.7,2170,18800,2360,68.4,3090,4.18,37.5,5.81
Aereo,69,R. communis,CI,<0.02,1.92,11800,21.4,1470,22700,2030,59.2,3190,2.52,29,6.45
Aereo,78,R. communis,CI,<0.02,1.98,14600,35.1,2060,21100,2290,58.8,3390,3.47,33.6,10.21
Aereo,79,R. communis,CI,<0.02,2.55,15200,38,2680,20800,2590,79.6,2890,6.1,38.9,6.93
Radical,61,V. farnesiana,CI,<0.02,17.15,26100,270,11600,13500,4970,127,2820,15.6,52.3,4.38
Radical,74,V. farnesiana,CI,<0.02,13.3,23500,222,7260,21100,4720,141.5,2980,11,48.9,4.69
Radical,62,V. farnesiana,CI,<0.02,17.25,23500,260,14250,24800,6430,190.5,2570,20.5,65.9,5.14
Radical,73,V. farnesiana,CI,<0.02,15.2,20300,225,7570,29900,4590,99.6,2130,10.5,33.9,5.62
Radical,68,R. communis,CI,<0.02,5.85,17700,142.5,5940,30600,7590,66.4,3380,7.32,25.7,4.72
Radical,69,R. communis,CI,<0.02,7.14,16200,138,6760,30400,9950,73.6,3860,8.73,26.7,4.56
Radical,78,R. communis,CI,<0.02,7.59,20200,139.5,7090,33900,11450,70.9,3940,8.32,35.9,3.5
Radical,79,R. communis,CI,<0.02,9.68,21200,204,9590,26500,8020,107.5,3460,12.85,41.5,5.55
Aereo,28,V. farnesiana,J,<0.02,0.7,17700,42.1,450,11900,1670,90.6,930,3.45,57.3,0.06
Radical,28,V. farnesiana,J,<0.02,16.2,6500,449,19200,19200,3430,62.3,1000,17.8,45.1,0.1109
Aereo,22,R. communis,J,<0.02,1,16000,17.2,610,15200,2050,43.2,1210,1.36,32.5,0.88
Radical,22,R. communis,J,<0.02,19.65,11800,537,28400,11700,9760,74.2,1460,25.8,48.9,0.65
Aereo,42,V. farnesiana,JI,<0.02,1.21,18600,50.6,1170,12700,2340,143,900,1.68,63.1,0.15
Radical,42,V. farnesiana,JI,<0.02,18.65,6400,602,18750,15400,3000,74.6,970,18,52.8,0.31
Aereo,48,R. communis,JI,<0.02,1.2,17200,20.6,770,11200,2470,29.1,1100,1.56,35.4,0.31
Radical,48,R. communis,JI,<0.02,30,11900,702,36000,10600,6320,99.7,1570,35.8,60.6,0.3
Aereo,81,V. farnesiana,SN,<0.02,0.79,10900,6.09,139,11500,1650,55.1,1770,0.26,22.2,6.88
Aereo,84,V. farnesiana,SN,<0.02,0.36,12500,6.63,119,12800,1130,62.2,1320,0.24,19.2,8.59
Aereo,99,V. farnesiana,SN,<0.02,0.27,8900,7.61,105,14300,1570,52.9,2550,0.16,28.4,5.97
Aereo,92,V. farnesiana,SN,<0.02,0.32,9900,4.77,113,11500,1310,46.8,1660,0.2,22.8,5.68
Radical,81,V. farnesiana,SN,<0.02,14.85,13700,109.5,2810,13900,2670,116,1830,1.12,60.2,4.49
Radical,84,V. farnesiana,SN,<0.02,12.8,15200,117,1600,15300,3540,93.2,1560,0.92,97.1,4.62
Radical,99,V. farnesiana,SN,<0.02,12,10500,86.1,1710,13000,2730,85.4,2160,0.78,94.6,3.23
Radical,92,V. farnesiana,SN,<0.02,13.15,11300,120,990,18600,3540,160.5,1800,0.64,208,3.75
Aereo,94,R. communis,SN,<0.02,2.05,15600,9.08,270,14500,2030,46.3,1780,0.37,41.1,5.72
Radical,94,R. communis,SN,<0.02,4.44,14300,54.6,3290,10100,9260,116,1490,1.27,154.5,5.22
Aereo,95,R. communis,SN,<0.02,4.03,19400,8.54,440,10000,2220,65,1720,0.55,36.5,4.04
Radical,95,R. communis,SN,<0.02,4.37,13100,45.4,2780,11700,8200,106,1840,1.39,131,3.77
Aereo,100,R. communis,SN,<0.02,4.61,19900,9.86,840,11400,2910,81.2,2170,0.6,44.1,3.41
Radical,100,R. communis,SN,<0.02,6.98,11800,47.9,1910,12200,10300,89.7,2490,0.89,121,3.3
